epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,6362.65,0.64085,0.34973,0.98012,0.98799,0.99256,0.99397,0.85163,0.61842,0.29434,0.89181,0.0005876,0.0005876,0.0005876
109,6421.01,0.6392,0.34714,0.97323,0.98561,0.99138,0.99392,0.84161,0.62278,0.30291,0.8953,0.0005744,0.0005744,0.0005744
110,6479.66,0.63197,0.33721,0.97669,0.98742,0.98793,0.99401,0.84471,0.63814,0.30107,0.8982,0.0005612,0.0005612,0.0005612
111,6539.57,0.63281,0.34158,0.97186,0.98289,0.99019,0.99294,0.84584,0.62018,0.29777,0.89789,0.000548,0.000548,0.000548
112,6597.86,0.64016,0.34412,0.97354,0.98454,0.9885,0.99396,0.8505,0.59521,0.29251,0.88881,0.0005348,0.0005348,0.0005348
113,6656.71,0.6192,0.33976,0.96362,0.9842,0.98966,0.99406,0.84014,0.63872,0.29609,0.90013,0.0005216,0.0005216,0.0005216
114,6716.13,0.62088,0.33342,0.96835,0.98564,0.98966,0.99411,0.84351,0.6214,0.28826,0.88861,0.0005084,0.0005084,0.0005084
115,6773.4,0.6269,0.33449,0.96788,0.98421,0.99138,0.99383,0.84048,0.62869,0.29018,0.89424,0.0004952,0.0004952,0.0004952
116,6830.81,0.61999,0.33308,0.97006,0.98593,0.99138,0.99397,0.84224,0.64348,0.29438,0.89982,0.000482,0.000482,0.000482
117,6890.43,0.61833,0.3328,0.97182,0.98642,0.98966,0.99407,0.84041,0.65652,0.29785,0.89619,0.0004688,0.0004688,0.0004688
118,6948.72,0.6182,0.33091,0.96703,0.98233,0.9931,0.99392,0.85783,0.6004,0.29007,0.88581,0.0004556,0.0004556,0.0004556
119,7006.23,0.62149,0.33287,0.96678,0.98458,0.99097,0.99385,0.85168,0.62615,0.29679,0.89346,0.0004424,0.0004424,0.0004424
120,7065.96,0.62071,0.33465,0.9609,0.98795,0.9895,0.99323,0.85132,0.60928,0.29725,0.89023,0.0004292,0.0004292,0.0004292
121,7123.7,0.60593,0.32812,0.9624,0.98356,0.9931,0.99395,0.86128,0.59544,0.29277,0.89343,0.000416,0.000416,0.000416
122,7181.6,0.61242,0.32716,0.96093,0.98715,0.99138,0.99415,0.84417,0.64071,0.29904,0.90613,0.0004028,0.0004028,0.0004028
123,7239.85,0.61135,0.3231,0.96353,0.98627,0.99054,0.99409,0.85237,0.62587,0.29308,0.89396,0.0003896,0.0003896,0.0003896
124,7299.11,0.60727,0.32757,0.968,0.98289,0.9905,0.99396,0.86142,0.59324,0.29378,0.89363,0.0003764,0.0003764,0.0003764
125,7356.81,0.60461,0.32101,0.96102,0.98565,0.98966,0.99391,0.85597,0.60728,0.28992,0.89322,0.0003632,0.0003632,0.0003632
126,7414.99,0.59656,0.31983,0.96249,0.98795,0.98943,0.99378,0.84236,0.64773,0.29491,0.9011,0.00035,0.00035,0.00035
127,7474.26,0.5973,0.31911,0.96314,0.98626,0.99025,0.99364,0.84424,0.63326,0.29427,0.8964,0.0003368,0.0003368,0.0003368
128,7532.76,0.60017,0.31948,0.96073,0.98292,0.9931,0.99367,0.8478,0.63743,0.29613,0.90048,0.0003236,0.0003236,0.0003236
129,7589.54,0.60214,0.31651,0.96116,0.98389,0.99138,0.99387,0.84592,0.62196,0.29709,0.89546,0.0003104,0.0003104,0.0003104
